#datatype string,string,string,date,tag
"ภาค","จังหวัด","อำเภอ","07-Mar-2023","ระดับความเสี่ยง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ลานสกา","20.31","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ช้างกลาง","13.98","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ท่าศาลา","13.03","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","พรหมคีรี","12.46","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ร่อนพิบูลย์","11.46","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","พิปูน","11.08","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","นบพิตำ","10.77","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","เมืองนครศรีธรรมร","10.05","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","แม่แจ่ม","9.98","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ทุ่งสง","8.97","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ปากพนัง","8.92","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ฉวาง","7.34","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","จอมทอง","6.93","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","กงหรา","6.47","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","พังงา","ตะกั่วทุ่ง","6.18","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","พระพรหม","5.06","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ตรัง","ย่านตาขาว","4.89","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","เฉลิมพระเกียรติ","4.71","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ถ้ำพรรณรา","4.69","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ภูเก็ต","ถลาง","4.57","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","แม่วาง","4.45","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","พังงา","ตะกั่วป่า","4.42","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","พังงา","เมืองพังงา","4.23","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","ศรีนครินทร์","4.14","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","ศรีสาคร","3.72","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","ตะโหมด","3.37","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","พังงา","เกาะยาว","3.36","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","กัลยาณิวัฒนา","3.31","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","เคียนซา","3.06","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ยะลา","ธารโต","3.04","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","แม่ฮ่องสอน","เมืองแม่ฮ่องสอน","3.02","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","จะแนะ","2.87","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","พังงา","ทับปุด","2.59","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ตรัง","ปะเหลียน","2.56","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ชลบุรี","สัตหีบ","2.50","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","พังงา","ท้ายเหมือง","2.21","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","น่าน","บ่อเกลือ","2.15","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","ป่าพะยอม","2.14","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","เวียงสระ","2.12","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ภูเก็ต","เมืองภูเก็ต","2.07","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ยะลา","เบตง","2.04","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ชะอวด","2.01","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","พังงา","คุระบุรี","2.01","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","สุคิริน","2.00","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","สุไหงปาดี","1.97","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ตรัง","กันตัง","1.66","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","อมก๋อย","1.62","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","สิชล","1.62","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","ศรีบรรพต","1.61","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","พังงา","กะปง","1.59","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","จุฬาภรณ์","1.56","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","เชียรใหญ่","1.52","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","กระบี่","ปลายพระยา","1.52","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ทุ่งใหญ่","1.48","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","พนม","1.48","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ตรัง","นาโยง","1.48","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","พระแสง","1.33","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","แม่ฮ่องสอน","สบเมย","1.32","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ตรัง","ห้วยยอด","1.25","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","กระบี่","อ่าวลึก","1.18","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ระยอง","บ้านฉาง","1.12","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","บ้านตาขุน","1.09","เล็กน้อย-ปานกลาง"
