TABLE 5.1-1Y,,,,,,
Installed Generating Capacity,,,,,,
,,,,,,
,,,,,Unit : MW,
Year,EGAT,IPP,SPP,Imported,Total,
2001," 15,000 "," 4,926 "," 1,768 ", 340 ," 22,034 ",
2002," 15,000 "," 7,071 "," 1,768 ", 640 ," 24,479 ",
2003," 14,431 "," 8,000 "," 1,912 ", 640 ," 24,983 ",
2004," 15,422 "," 8,000 "," 1,994 ", 640 ," 26,056 ",
2005," 15,795 "," 8,000 "," 2,016 ", 640 ," 26,450 ",
2006," 15,795 "," 8,610 "," 2,062 ", 640 ," 27,106 ",
2007," 15,794 "," 10,017 "," 2,079 ", 640 ," 28,530 ",
2008," 15,021 "," 12,152 "," 2,079 ", 640 ," 29,892 ",
2009," 14,328 "," 12,152 "," 2,092 ", 640 ," 29,212 ",
2010," 14,998 "," 12,152 "," 2,182 "," 1,588 "," 30,920 ",
2011," 14,998 "," 12,082 "," 2,182 "," 2,185 "," 31,447 ",
2012," 14,996 "," 12,714 "," 2,608 "," 2,282 "," 32,600 ",
2013," 15,010 "," 12,742 "," 3,525 "," 2,405 "," 33,681 ",
2014," 15,482 "," 13,167 "," 3,615 "," 2,404 "," 34,668 ",
2015," 15,518 "," 14,767 "," 5,144 "," 3,386 "," 38,815 ",
2016," 16,385 "," 14,949 "," 6,345 "," 3,878 "," 41,556 ",
2017," 16,071 "," 14,949 "," 7,536 "," 3,878 "," 42,433 ",
2018," 15,790 "," 14,949 "," 8,757 "," 3,878 "," 43,374 ",
2019," 15,130 "," 14,949 "," 9,498 "," 5,720 "," 45,297 ",
2020," 16,037 "," 14,249 "," 9,474 "," 5,721 "," 45,480 ",
2021," 16,082 "," 15,499 "," 9,381 "," 5,721 "," 46,682 ",
2022," 16,920 "," 16,749 "," 9,195 "," 6,235 "," 49,098 ",
Share(%),,,,,,
Year,EGAT,IPP,SPP,Imported,Total,
2001, 68 , 22 , 8 , 2 , 100 ,
2002, 61 , 29 , 7 , 3 , 100 ,
2003, 58 , 32 , 8 , 3 , 100 ,
2004, 59 , 31 , 8 , 2 , 100 ,
2005, 60 , 30 , 8 , 2 , 100 ,
2006, 58 , 32 , 8 , 2 , 100 ,
2007, 55 , 35 , 7 , 2 , 100 ,
2008, 50 , 41 , 7 , 2 , 100 ,
2009, 49 , 42 , 7 , 2 , 100 ,
2010, 49 , 39 , 7 , 5 , 100 ,
2011, 48 , 38 , 7 , 7 , 100 ,
2012, 46 , 39 , 8 , 7 , 100 ,
2013, 45 , 38 , 10 , 7 , 100 ,
2014, 45 , 38 , 10 , 7 , 100 ,
2015, 40 , 38 , 13 , 9 , 100 ,
2016, 39 , 36 , 15 , 9 , 100 ,
2017, 38 , 35 , 18 , 9 , 100 ,
2018, 36 , 34 , 20 , 9 , 100 ,
2019, 33 , 33 , 21 , 13 , 100 ,
2020, 35 , 31 , 21 , 13 , 100 ,
2021, 34 , 33 , 20 , 12 , 100 ,
2022, 34 , 34 , 19 , 13 , 100 ,
Source : EGAT,,,,,,
Remark : on EGAT system,,,,,,
